iter	Passed	Remaining
0	305	152588
1	535	133406
2	766	126969
3	986	122377
4	1202	119092
5	1447	119183
6	1743	122813
7	1960	120593
8	2189	119443
9	2437	119458
10	2671	118749
11	2885	117335
12	3118	116824
13	3347	116195
14	3578	115708
15	3801	115002
16	4040	114811
17	4275	114475
18	4517	114372
19	4737	113689
20	4945	112803
21	5150	111916
22	5414	112287
23	5665	112365
24	6026	114498
25	6240	113761
26	6478	113494
27	6713	113169
28	6939	112708
29	7177	112450
30	7384	111727
31	7630	111592
32	7848	111068
33	8086	110827
34	8343	110850
35	8580	110597
36	8801	110139
37	9010	109554
38	9215	108932
39	9446	108630
40	9666	108217
41	9871	107641
42	10080	107139
43	10310	106855
44	10513	106307
45	10721	105821
46	10939	105434
47	11150	105002
48	11350	104475
49	11553	103981
50	11755	103494
51	11992	103322
52	12235	103190
53	12466	102960
54	12725	102958
55	12983	102942
56	13209	102660
57	13429	102343
58	13662	102121
59	13892	101874
60	14116	101594
61	14348	101366
62	14621	101420
63	14854	101195
64	15095	101023
65	15337	100856
66	15550	100497
67	15756	100100
68	15962	99705
69	16176	99369
70	16394	99057
71	16690	99214
72	16939	99084
73	17170	98844
74	17398	98588
75	17708	98792
76	17963	98680
77	18204	98491
78	18415	98139
79	18621	97762
80	18860	97564
81	19092	97327
82	19344	97187
83	19609	97115
84	19845	96890
85	20167	97084
86	20431	96991
87	20662	96737
88	20890	96473
89	21170	96442
90	21510	96679
91	21779	96585
92	22016	96350
93	22224	95990
94	22429	95620
95	22650	95319
96	22948	95344
97	23257	95404
98	23504	95204
99	23777	95109
100	23990	94775
101	24256	94647
102	24466	94304
103	24672	93945
104	24876	93584
105	25110	93336
106	25334	93051
107	25544	92717
108	25753	92382
109	25955	92024
110	26161	91682
111	26463	91678
112	26719	91509
113	26960	91287
114	27220	91129
115	27564	91248
116	27820	91070
117	28033	90752
118	28278	90538
119	28486	90206
120	28747	90044
121	29006	89872
122	29239	89618
123	29458	89326
124	29700	89101
125	29932	88848
126	30154	88563
127	30387	88312
128	30615	88048
129	30846	87793
130	31074	87529
131	31306	87278
132	31538	87027
133	31815	86898
134	32126	86860
135	32374	86650
136	32614	86415
137	32861	86201
138	33084	85924
139	33302	85635
140	33530	85371
141	33763	85121
142	33988	84853
143	34190	84525
144	34418	84266
145	34629	83964
146	34830	83640
147	35050	83362
148	35280	83109
149	35532	82908
150	35778	82692
151	36076	82596
152	36331	82399
153	36574	82174
154	36797	81905
155	37011	81614
156	37212	81299
157	37425	81009
158	37651	80748
159	37861	80455
160	38074	80168
161	38275	79858
162	38475	79547
163	38697	79282
164	38913	79005
165	39127	78726
166	39342	78449
167	39541	78141
168	39752	77858
169	39962	77575
170	40172	77291
171	40399	77040
172	40620	76779
173	40843	76523
174	41061	76256
175	41260	75957
176	41468	75674
177	41680	75399
178	41902	75144
179	42152	74937
180	42401	74730
181	42632	74489
182	42855	74236
183	43096	74013
184	43382	73867
185	43664	73712
186	43888	73460
187	44133	73243
188	44362	72998
189	44627	72813
190	44878	72604
191	45112	72367
192	45339	72119
193	45625	71966
194	45941	71857
195	46213	71678
196	46486	71500
197	46729	71274
198	46961	71031
199	47207	70810
200	47471	70617
201	47716	70393
202	47976	70191
203	48209	69951
204	48446	69715
205	48688	69487
206	48938	69270
207	49181	69043
208	49432	68827
209	49673	68596
210	49909	68359
211	50133	68105
212	50357	67852
213	50601	67626
214	50837	67388
215	51072	67151
216	51304	66908
217	51537	66668
218	51760	66414
219	51985	66162
220	52215	65918
221	52437	65665
222	52664	65417
223	52889	65167
224	53151	64962
225	53373	64709
226	53599	64461
227	53825	64212
228	54049	63962
229	54280	63720
230	54510	63478
231	54747	63243
232	55015	63043
233	55262	62819
234	55499	62584
235	55734	62347
236	56005	62149
237	56322	62001
238	56575	61783
239	56852	61589
240	57132	61399
241	57470	61270
242	57731	61057
243	57962	60813
244	58234	60611
245	58510	60413
246	58767	60194
247	59033	59986
248	59312	59788
249	59540	59540
250	59751	59275
