"Title","Author","Description","Pages","Publication year","Publisher","Category","Subcategory","Price"
"""التشبيك وميثاق الممارسة في عمل المنظمات الأهلية""","يوسف حجار","تقرير يوثق أعمال ورشة عمل (1995) عن محاولة صياغة ميثاق ممارسة يحدد أصول التعامل فيما بين الهيئات الأهلية ومع الهيئات الممولة. وفيه عرض لمجموعة غني ة من الخبرات في ""التشبيك"" ومجموعة من التحديات والتوصيات تساهم في بلورة خطوات عملية في مجال التشبيك بين المنظمات الأهلية على المستوى الإقليمي. عرضة من الخبرات في ""التشبيك"" ومجموعة من التحديات والتوصيات تساهم في بلورة خطوات عملية في مجال التشبيك بين المنظمات الأهلية على المستوى الإقليمي.","40","2003","دار الفكر المعاصر","0000000010000","الندوات والمؤتمرات","16.88"
"""دلائل التفسير في مهد التغيير تفسير حم - عسق""","رئيسة قسام","دلائل التفسير في معد التغيير"" رؤى بيانية على مكامن الدين جوانب- مضامين- أركان، رؤى في القرآن الصورية لأشكال الحروف.  عرض","208","2017","دار ابن الجوزي للنشر والتوزيع – السعودية","0000000000010","القرآن وعلومه","37.8"
"100","محمد الشعال","تعاني كثير من الأسر اليوم من مشكلات جوهرية وخلافات حادة تقوم بين الأزواج، تسرق سعادتهم وتؤدي بأسرهم إلى نتائج وخيمة، بعدما انعقدت الآمال على حياة  رسموها بأحلامهم.. ويمكن لتلك الأحلام الذهبية أن تتحقق لو أن الأزواج تفهموا بوعي وظيفتهم التي رسمها الله لهم عرضرسموها بأحلامهم.. ويمكن لتلك الأحلام الذهبية أن تتحقق لو أن الأزواج تفهموا بوعي وظيفتهم التي رسمها الله لهم","280","2012","دار الفكر المعاصر","0000010000000","شؤون المرأة","28.13"
"100 وسيلة طبيعية للتزود بالطاقة والحيوية","كريستين كيلي","لا بد أن يعيش المرء فترات من الإرهاق والتعب، فلا يجد حتى الوقت لاستعادة طاقته، غير إنه في هذا الكتاب ستجدون كل الوسائل الممكنة والسهلة لحث جهازكم  والحصول على الطاقة كما يمكنكم الاختيار بين مختلف الأطعمة والأغذية والمشروبات والتمارين والمداواة العطرية وتقنيات التدليك، فكل وسيلة في هذا الكتاب تهدف لمساعدة الجسد والعقل معاً بطريقة صحية دون اللجوء إلى المنبهات. عرضوالحصول على الطاقة كما يمكنكم الاختيار بين مختلف الأطعمة والأغذية والمشروبات والتمارين والمداواة العطرية وتقنيات التدليك، فكل وسيلة في هذا الكتاب تهدف لمساعدة الجسد والعقل معاً بطريقة صحية دون اللجوء إلى المنبهات.","80","1994","الدار العربية للعلوم ناشرون","0000001000000","علم النبات","8.44"
"100 يوم في معتقل أنصار","محمد صفا","بعد 33 عاماً على إصدار كتاب 100 يوم في معتقل أنصار أقدم للرأي العام طبعة جديدة ومنقحة. صحيح أن الكتاب يغطي مرحلة من تاريخنا، بعضها أصبح م ن الماضي، ولكن عندما تعيد قراءته تشعر أن أحداثه وتفاصيله مازالت راهنة، وشاخصة أمامك في مكان آخر وفي سجون وبلاد أخرى. الجلاد هو نفسه والتعذيب هو نفسه، وامتهان الكرامة الإنسانية هو ذاته والذي تغير هو تطوير تقنية القتل والإعدام والتعذيب. تقرأ الكتاب، تنقب في سطوره، تقفز فوق أسلاكه ووديانه، فتجد نفسك أحد مجانينه، مازلت أسيراً في خيمة تتقاسم البيضة والصفعة أو الدمعة مع عشرة أشخاص أو أكثر. مازلت جثة تائهة، خرقة، بقايا عظام في مقبرة، كمشة غبار تلاحقها الغيوم. مازلت رقماً للتعداد. عرضن الماضي، ولكن عندما تعيد قراءته تشعر أن أحداثه وتفاصيله مازالت راهنة، وشاخصة أمامك في مكان آخر وفي سجون وبلاد أخرى. الجلاد هو نفسه والتعذيب هو نفسه، وامتهان الكرامة الإنسانية هو ذاته والذي تغير هو تطوير تقنية القتل والإعدام والتعذيب. تقرأ الكتاب، تنقب في سطوره، تقفز فوق أسلاكه ووديانه، فتجد نفسك أحد مجانينه، مازلت أسيراً في خيمة تتقاسم البيضة والصفعة أو الدمعة مع عشرة أشخاص أو أكثر. مازلت جثة تائهة، خرقة، بقايا عظام في مقبرة، كمشة غبار تلاحقها الغيوم. مازلت رقماً للتعداد.","264","2017","دار الفارابي للنشر والتوزيع","0000000000001","تاريخ الأدب","33.75"
"12500 سؤال","سهام إبراهيم محمود","يسمع لك هذا الكتاب باختيار معلوماتك في الأدب والألقاب، والكنى والإسلاميات والإعلام والنشر والتاريخ والجغرافيا والرياضة والسياحة والسياسة والاقتصاد والاجتماع والطب والعلوم واللغات والعملات والغزوات والمعارك والتراجم حيث يقدم لك مجموعة أسئلة تطرح في المسابقات العامة والدولية والبرامج التلفزيونية، ومؤلفته سيدة لها باع طويل في هذا المضمار إذ أنها قد شاركت وفازت في العديد من المسابقات المحلية في أبو ظبي والخارج منها على سبيل المثال برنامج ""سين وجيم"" وبرنامج ""أبراج"" وبرنامج من سيربح المليون في تلفزيون mbc، وبرنامج ""الحلقة الأضعف"" في تلفزيون المستقبل، بالإضافة إلى البرامج الإذاعية داخل دولة الإمارات العربية المتحدة وخارجها من دول الخليج. عرضوالاجتماع والطب والعلوم واللغات والعملات والغزوات والمعارك والتراجم... حيث يقدم لك مجموعة أسئلة تطرح في المسابقات العامة والدولية والبرامج التلفزيونية، ومؤلفته سيدة لها باع طويل في هذا المضمار إذ أنها قد شاركت وفازت في العديد من المسابقات المحلية في أبو ظبي والخارج منها على سبيل المثال برنامج ""سين وجيم"" وبرنامج ""أبراج"" وبرنامج من سيربح المليون في تلفزيون mbc، وبرنامج ""الحلقة الأضعف"" في تلفزيون المستقبل، بالإضافة إلى البرامج الإذاعية داخل دولة الإمارات العربية المتحدة وخارجها من دول الخليج....","815","2011","دار كنوز المعرفة العلمية للنشر والتوزيع","0100000000000","ألغاز","26.79"
"2008 آمال تزهر","ماغي فرح","-في توقعاتها لسنة 2008 تقول ماغي فرح أن هذه السنة تحمل آمالاً جديدة رغم الأجواء الضبابية. تصفو خلالها السماء الفلكية وتبشّر ببداية الحلول. -سنة السياسة بامتياز، تحكي عن لقاءات مهمة واجتماعات عالمية وقرارات حكيمة تشد الأنظار وتغيّر المسار.-تشير إلى مداهما عرض-سنة السياسة بامتياز، تحكي عن لقاءات مهمة واجتماعات عالمية وقرارات حكيمة تشد الأنظار وتغيّر المسار.-تشير إلى مداهما","544","1995","دار العلم للملايين","0000001000000","علم النبات","10.88"
"2011 سنة المخاطر الصاعقة","ماغي فرح","تشكل سنة 2011 بداية عصر التغيير وتشهد على تبدل فلكي كبير ودخول ""جوبيتير"" و ""أورانوس"" معاً إلى الحمل لمعاكسة ""ساتورن"" و""بلوتون"" ما يعني إنقلابات مف اجئة وأوضاعاً مربكة وفضائح مذهلة.يمكن وصف هذه السنة بالشرسة، تقع الفترة الأخطر بين أواخر كانون الثاني (يناير) وبداية شهر حزيران (يونيو).هي سنة ""الهر"" صينياً، شهدت بداية الحرب اللبنانية سنة 1975، وإغتيال رئيسين للولايات المتحدة الأميركية، تقرأ في الكتاب حكماً هي نتاج تعاليم الحياة.هذا الكتاب هو رفيقك اليومي، يواسيك، يحذّرك ويحميك قدّمه هدية لمَن تحب وتحرص عليه! عرضاجئة وأوضاعاً مربكة وفضائح مذهلة.يمكن وصف هذه السنة بالشرسة، تقع الفترة الأخطر بين أواخر كانون الثاني (يناير) وبداية شهر حزيران (يونيو).هي سنة ""الهر"" صينياً، شهدت بداية الحرب اللبنانية سنة 1975، وإغتيال رئيسين للولايات المتحدة الأميركية، تقرأ في الكتاب حكماً هي نتاج تعاليم الحياة.هذا الكتاب هو رفيقك اليومي، يواسيك، يحذّرك ويحميك... قدّمه هدية لمَن تحب وتحرص عليه!...","543","1998","ELGA   منشورات","0000001000000","علم النبات","26.25"
"22 قصة تربوية للأطفال - ملون","ياسر سلامة","يميز كتاب 22 قصة تربوية للأطفال مفاهيم تربوية متنوعة الأهداف و الغايات ، تحقق لأبنائنا الأعزاء السرد القصصي الممتع ، وتثري معرفتهم بثقافة واعية نا ضجة ، وكلها قصص وحكايات تنمي عقول أبنائنا وتوسع مداركهم وتفسح أبواب الخيال عندهم وتثري معلوماتهم ، حيث تناولن عرضضجة ، وكلها قصص وحكايات تنمي عقول أبنائنا وتوسع مداركهم وتفسح أبواب الخيال عندهم وتثري معلوماتهم ، حيث تناولن","160","2017","دار عالم الثقافة للنشر والتوزيع","0000010000000","الأطفال","56.25"
"25 طريقة لتصنع من ابنك رجلاَ فذاَ","أكرم عثمان","إن للخبرات التي يمر بها الطفل منذ نشأته عميق الأثر في حياته، حيث تلعب دوراً مهماً في تحقيق ما يسمى بالفطام النفسي الذي لا يتحقق إلا باستقلاله التا م وبناء كيانه المستقل. ومن هنا فإن للمربي دوراً هاماً وفعالاً في تربية الطفل، فعرض المؤلف لخمسة وعشرين طريقة لتوفير المناخ المناسب لبناء شخصية النشء وترسيخ روح المسؤولية لديهم والاعتماد على أنفسهم مساهمة منه في بناء جيل المستقبل. عرضم وبناء كيانه المستقل. ومن هنا فإن للمربي دوراً هاماً وفعالاً في تربية الطفل، فعرض المؤلف لخمسة وعشرين طريقة لتوفير المناخ المناسب لبناء شخصية النشء وترسيخ روح المسؤولية لديهم والاعتماد على أنفسهم مساهمة منه في بناء جيل المستقبل.","174","2013","دار ابن حزم للطباعة والنشر والتوزيع","0000010000000","تربية الأطفال","37.5"
